word,kana,boin,hinshi
1339年,せんさんびゃくさんじゅうきゅうねん,エンアンアウアンウウウウエン,名詞
1348年,せんさんびゃくよんじゅうはちねん,エンアンアウオンウウアイエン,名詞
1349年,せんさんびゃくよんじゅうきゅうねん,エンアンアウオンウウウウエン,名詞
1350年,せんさんびゃくごじゅうねん,エンアンアウオウウエン,名詞
1352年,せんさんびゃくごじゅうにねん,エンアンアウオウウイエン,名詞
1361年,せんさんびゃくろくじゅういちねん,エンアンアウオウウウイイエン,名詞
1368年,せんさんびゃくろくじゅうはちねん,エンアンアウオウウウアイエン,名詞
1378年,せんさんびゃくななじゅうはちねん,エンアンアウアアウウアイエン,名詞
1379年,せんさんびゃくななじゅうきゅうねん,エンアンアウアアウウウウエン,名詞
1389年,せんさんびゃくはちじゅうきゅうねん,エンアンアウアイウウウウエン,名詞
1390年,せんさんびゃくきゅうじゅうねん,エンアンアウウウウウエン,名詞
1391年,せんさんびゃくきゅうじゅういちねん,エンアンアウウウウウイイエン,名詞
1392年,せんさんびゃくきゅうじゅうにねん,エンアンアウウウウウイエン,名詞
1394年,せんさんびゃくきゅうじゅうよんねん,エンアンアウウウウウオンエン,名詞
1399年,せんさんびゃくきゅうじゅうきゅうねん,エンアンアウウウウウウウエン,名詞
13年,じゅうさんねん,ウウアンエン,名詞
13分,じゅうさんぷん,ウウアンウン,名詞
1400円,せんよんひゃくえん,エンオンアウエン,名詞
1400年,せんよんひゃくねん,エンオンアウエン,名詞
1401年,せんよんひゃくいちねん,エンオンアウイイエン,名詞
1409年,せんよんひゃくきゅうねん,エンオンアウウウエン,名詞
1416年,せんよんひゃくじゅうろくねん,エンオンアウウウオウエン,名詞
1419年,せんよんひゃくじゅうきゅうねん,エンオンアウウウウウエン,名詞
1428年,せんよんひゃくにじゅうはちねん,エンオンアウイウウアイエン,名詞
1429年,せんよんひゃくにじゅうきゅうねん,エンオンアウイウウウウエン,名詞
1438年,せんよんひゃくさんじゅうはちねん,エンオンアウアンウウアイエン,名詞
1439年,せんよんひゃくさんじゅうきゅうねん,エンオンアウアンウウウウエン,名詞
1440年,せんよんひゃくよんじゅうねん,エンオンアウオンウウエン,名詞
1441年,せんよんひゃくよんじゅういちねん,エンオンアウオンウウイイエン,名詞
1443年,せんよんひゃくよんじゅうさんねん,エンオンアウオンウウアンエン,名詞
1454年,せんよんひゃくごじゅうよんねん,エンオンアウオウウオンエン,名詞
1455年,せんよんひゃくごじゅうごねん,エンオンアウオウウオエン,名詞
1457年,せんよんひゃくごじゅうななねん,エンオンアウオウウアアエン,名詞
1458年,せんよんひゃくごじゅうはちねん,エンオンアウオウウアイエン,名詞
1466年,せんよんひゃくろくじゅうろくねん,エンオンアウオウウウオウエン,名詞
1467年,せんよんひゃくろくじゅうななねん,エンオンアウオウウウアアエン,名詞
146cm,ひゃくよんじゅうろくせんちめーとる,アウオンウウオウエンイエエオウ,名詞
1477年,せんよんひゃくななじゅうななねん,エンオンアウアアウウアアエン,名詞
1483年,せんよんひゃくはちじゅうさんねん,エンオンアウアイウウアンエン,名詞
1485年,せんよんひゃくはちじゅうごねん,エンオンアウアイウウオエン,名詞
1486年,せんよんひゃくはちじゅうろくねん,エンオンアウアイウウオウエン,名詞
1487年,せんよんひゃくはちじゅうななねん,エンオンアウアイウウアアエン,名詞
1488年,せんよんひゃくはちじゅうはちねん,エンオンアウアイウウアイエン,名詞
1489年,せんよんひゃくはちじゅうきゅうねん,エンオンアウアイウウウウエン,名詞
1490年,せんよんひゃくきゅうじゅうねん,エンオンアウウウウウエン,名詞
1491年,せんよんひゃくきゅうじゅういちねん,エンオンアウウウウウイイエン,名詞
1493年,せんよんひゃくきゅうじゅうさんねん,エンオンアウウウウウアンエン,名詞
1498年,せんよんひゃくきゅうじゅうはちねん,エンオンアウウウウウアイエン,名詞
14歳,じゅうよんさい,ウウオンアイ,名詞
14種,じゅうよんしゅ,ウウオンウ,名詞
14日,じゅうよっか,ウウオッア,名詞
14年,じゅうよんねん,ウウオンエン,名詞
1500年,せんごひゃくねん,エンオアウエン,名詞
1505年,せんごひゃくごねん,エンオアウオエン,名詞
1507年,せんごひゃくななねん,エンオアウアアエン,名詞
1510年,せんごひゃくじゅうねん,エンオアウウウエン,名詞
1518円,せんごひゃくじゅうはちえん,エンオアウウウアイエン,名詞
1523年,せんごひゃくにじゅうさんねん,エンオアウイウウアンエン,名詞
1531年,せんごひゃくさんじゅういちねん,エンオアウアンウウイイエン,名詞
1532年,せんごひゃくさんじゅうにねん,エンオアウアンウウイエン,名詞
1535年,せんごひゃくさんじゅうごねん,エンオアウアンウウオエン,名詞
1536年,せんごひゃくさんじゅうろくねん,エンオアウアンウウオウエン,名詞
1538年,せんごひゃくさんじゅうはちねん,エンオアウアンウウアイエン,名詞
1542年,せんごひゃくよんじゅうにねん,エンオアウオンウウイエン,名詞
1543年,せんごひゃくよんじゅうさんねん,エンオアウオンウウアンエン,名詞
1546年,せんごひゃくよんじゅうろくねん,エンオアウオンウウオウエン,名詞
1549年,せんごひゃくよんじゅうきゅうねん,エンオアウオンウウウウエン,名詞
1550年代,せんごひゃくごじゅうねんだい,エンオアウオウウエンアイ,名詞
1553年,せんごひゃくごじゅうさんねん,エンオアウオウウアンエン,名詞
1555年,せんごひゃくごじゅうごねん,エンオアウオウウオエン,名詞
1560年,せんごひゃくろくじゅうねん,エンオアウオウウウエン,名詞
1564年,せんごひゃくろくじゅうよんねん,エンオアウオウウウオンエン,名詞
1565年,せんごひゃくろくじゅうごねん,エンオアウオウウウオエン,名詞
1568年,せんごひゃくろくじゅうはちねん,エンオアウオウウウアイエン,名詞
1570年,せんごひゃくななじゅうねん,エンオアウアアウウエン,名詞
1571年,せんごひゃくななじゅういちねん,エンオアウアアウウイイエン,名詞
1572年,せんごひゃくななじゅうにねん,エンオアウアアウウイエン,名詞
1573年,せんごひゃくななじゅうさんねん,エンオアウアアウウアンエン,名詞
1575年,せんごひゃくななじゅうごねん,エンオアウアアウウオエン,名詞
生みだす,うみだす,ウイアウ,動詞
1576年,せんごひゃくななじゅうろくねん,エンオアウアアウウオウエン,名詞
1578年,せんごひゃくななじゅうはちねん,エンオアウアアウウアイエン,名詞
1582年,せんごひゃくはちじゅうにねん,エンオアウアイウウイエン,名詞
1583年,せんごひゃくはちじゅうさんねん,エンオアウアイウウアンエン,名詞
1584年,せんごひゃくはちじゅうよんねん,エンオアウアイウウオンエン,名詞
1585年,せんごひゃくはちじゅうごねん,エンオアウアイウウオエン,名詞
1586年,せんごひゃくはちじゅうろくねん,エンオアウアイウウオウエン,名詞
1587年,せんごひゃくはちじゅうななねん,エンオアウアイウウアアエン,名詞
1588年,せんごひゃくはちじゅうはちねん,エンオアウアイウウアイエン,名詞
1590年,せんごひゃくきゅうじゅうねん,エンオアウウウウウエン,名詞
1591年,せんごひゃくきゅうじゅういちねん,エンオアウウウウウイイエン,名詞
1592年,せんごひゃくきゅうじゅうにねん,エンオアウウウウウイエン,名詞
1593年,せんごひゃくきゅうじゅうさんねん,エンオアウウウウウアンエン,名詞
1596年,せんごひゃくきゅうじゅうろくねん,エンオアウウウウウオウエン,名詞
1597年,せんごひゃくきゅうじゅうななねん,エンオアウウウウウアアエン,名詞
1598年,せんごひゃくきゅうじゅうはちねん,エンオアウウウウウアイエン,名詞
15億,じゅうごおく,ウウオオウ,名詞
15巻,じゅうごかん,ウウオアン,名詞
15号,じゅうごごう,ウウオオウ,名詞
15才,じゅうごさい,ウウオアイ,名詞
15歳,じゅうごさい,ウウオアイ,名詞
15歳のエチュード,じゅうごさいのえちゅーど,ウウオアイオエウウオ,名詞
15世紀,じゅうごせいき,ウウオエイイ,名詞
15日,じゅうごにち,ウウオイイ,名詞
15年,じゅうごねん,ウウオエン,名詞
1600年,せんろっぴゃくねん,エンオッアウエン,名詞
1600年代,せんろっぴゃくねんだい,エンオッアウエンアイ,名詞
1601年,せんろっぴゃくいちねん,エンオッアウイイエン,名詞
肩,かた,アア,名詞
1603年,せんろっぴゃくさんねん,エンオッアウアンエン,名詞
1605年,せんろっぴゃくごねん,エンオッアウオエン,名詞
1609年,せんろっぴゃくきゅうねん,エンオッアウウウエン,名詞
1611年,せんろっぴゃくじゅういちねん,エンオッアウウウイイエン,名詞
1613年,せんろっぴゃくじゅうさんねん,エンオッアウウウアンエン,名詞
1614年,せんろっぴゃくじゅうよんねん,エンオッアウウウオンエン,名詞
1615年,せんろっぴゃくじゅうごねん,エンオッアウウウオエン,名詞
1616年,せんろっぴゃくじゅうろくねん,エンオッアウウウオウエン,名詞
1618年,せんろっぴゃくじゅうはちねん,エンオッアウウウアイエン,名詞
1620年,せんろっぴゃくにじゅうねん,エンオッアウイウウエン,名詞
1622年,せんろっぴゃくにじゅうにねん,エンオッアウイウウイエン,名詞
1623年,せんろっぴゃくにじゅうさんねん,エンオッアウイウウアンエン,名詞
1624年,せんろっぴゃくにじゅうよんねん,エンオッアウイウウオンエン,名詞
1625年,せんろっぴゃくにじゅうごねん,エンオッアウイウウオエン,名詞
1627年,せんろっぴゃくにじゅうななねん,エンオッアウイウウアアエン,名詞
1628年,せんろっぴゃくにじゅうはちねん,エンオッアウイウウアイエン,名詞
1629年,せんろっぴゃくにじゅうきゅうねん,エンオッアウイウウウウエン,名詞
1631年,せんろっぴゃくさんじゅういちねん,エンオッアウアンウウイイエン,名詞
1633年,せんろっぴゃくさんじゅうさんねん,エンオッアウアンウウアンエン,名詞
1634年,せんろっぴゃくさんじゅうよんねん,エンオッアウアンウウオンエン,名詞
1635年,せんろっぴゃくさんじゅうごねん,エンオッアウアンウウオエン,名詞
1636年,せんろっぴゃくさんじゅうろくねん,エンオッアウアンウウオウエン,名詞
1637年,せんろっぴゃくさんじゅうななねん,エンオッアウアンウウアアエン,名詞
1638年,せんろっぴゃくさんじゅうはちねん,エンオッアウアンウウアイエン,名詞
1639年,せんろっぴゃくさんじゅうきゅうねん,エンオッアウアンウウウウエン,名詞
1月4日,いちがつよっか,イイアウオッア,名詞
1640年,せんろっぴゃくよんじゅうねん,エンオッアウオンウウエン,名詞
1641年,せんろっぴゃくよんじゅういちねん,エンオッアウオンウウイイエン,名詞
1642年,せんろっぴゃくよんじゅうにねん,エンオッアウオンウウイエン,名詞
1643年,せんろっぴゃくよんじゅうさんねん,エンオッアウオンウウアンエン,名詞
1651年,せんろっぴゃくごじゅういちねん,エンオッアウオウウイイエン,名詞
1653年,せんろっぴゃくごじゅうさんねん,エンオッアウオウウアンエン,名詞
1657年,せんろっぴゃくごじゅうななねん,エンオッアウオウウアアエン,名詞
1663年,せんろっぴゃくろくじゅうさんねん,エンオッアウオウウウアンエン,名詞
1665年,せんろっぴゃくろくじゅうごねん,エンオッアウオウウウオエン,名詞
1666年,せんろっぴゃくろくじゅうろくねん,エンオッアウオウウウオウエン,名詞
1669年,せんろっぴゃくろくじゅうきゅうねん,エンオッアウオウウウウウエン,名詞
1670年,せんろっぴゃくななじゅうねん,エンオッアウアアウウエン,名詞
1681年,せんろっぴゃくはちじゅういちねん,エンオッアウアイウウイイエン,名詞
1682年,せんろっぴゃくはちじゅうにねん,エンオッアウアイウウイエン,名詞
1683年,せんろっぴゃくはちじゅうさんねん,エンオッアウアイウウアンエン,名詞
1684年,せんろっぴゃくはちじゅうよんねん,エンオッアウアイウウオンエン,名詞
1687年,せんろっぴゃくはちじゅうななねん,エンオッアウアイウウアアエン,名詞
1689年,せんろっぴゃくはちじゅうきゅうねん,エンオッアウアイウウウウエン,名詞
1690円,せんろっぴゃくきゅうじゅうえん,エンオッアウウウウウエン,名詞
1690年,せんろっぴゃくきゅうじゅうねん,エンオッアウウウウウエン,名詞
1692年,せんろっぴゃくきゅうじゅうにねん,エンオッアウウウウウイエン,名詞
1695年,せんろっぴゃくきゅうじゅうごねん,エンオッアウウウウウオエン,名詞
1697年,せんろっぴゃくきゅうじゅうななねん,エンオッアウウウウウアアエン,名詞
16歳,じゅうろっさい,ウウオッアイ,名詞
16人,じゅうろくにん,ウウオウイン,名詞
16年,じゅうろくねん,ウウオウエン,名詞
16分,じゅうろっぷん,ウウオッウン,名詞
1700年,せんななひゃくねん,エンアアアウエン,名詞
1701年,せんななひゃくいちねん,エンアアアウイイエン,名詞
1703年,せんななひゃくさんねん,エンアアアウアンエン,名詞
1707年,せんななひゃくななねん,エンアアアウアアエン,名詞
1709年,せんななひゃくきゅうねん,エンアアアウウウエン,名詞
2002年,にせんにねん,イエンイエン,名詞
1712年,せんななひゃくじゅうにねん,エンアアアウウウイエン,名詞
1715年,せんななひゃくじゅうごねん,エンアアアウウウオエン,名詞
1716年,せんななひゃくじゅうろくねん,エンアアアウウウオウエン,名詞
1717年,せんななひゃくじゅうななねん,エンアアアウウウアアエン,名詞
1721年,せんななひゃくにじゅういちねん,エンアアアウイウウイイエン,名詞
1722年,せんななひゃくにじゅうにねん,エンアアアウイウウイエン,名詞
2月,にがつ,イアウ,名詞
1723年,せんななひゃくにじゅうさんねん,エンアアアウイウウアンエン,名詞
1726年,せんななひゃくにじゅうろくねん,エンアアアウイウウオウエン,名詞
1742年,せんななひゃくよんじゅうにねん,エンアアアウオンウウイエン,名詞
1753年,せんななひゃくごじゅうさんねん,エンアアアウオウウアンエン,名詞
1754年,せんななひゃくごじゅうよんねん,エンアアアウオウウオンエン,名詞
1757年,せんななひゃくごじゅうななねん,エンアアアウオウウアアエン,名詞
1758年,せんななひゃくごじゅうはちねん,エンアアアウオウウアイエン,名詞
1761年,せんななひゃくろくじゅういちねん,エンアアアウオウウウイイエン,名詞
1767年,せんななひゃくろくじゅうななねん,エンアアアウオウウウアアエン,名詞
1768年,せんななひゃくろくじゅうはちねん,エンアアアウオウウウアイエン,名詞
1769年,せんななひゃくろくじゅうきゅうねん,エンアアアウオウウウウウエン,名詞
1770年,せんななひゃくななじゅうねん,エンアアアウアアウウエン,名詞
